Date,Open,High,Low,Close,Adj Close,Volume
17/01/2024,0.855,0.877,0.75,0.798,0.798,314700
18/01/2024,0.791,0.809,0.7,0.716,0.716,281900
19/01/2024,0.711,0.729,0.66,0.67,0.67,311900
22/01/2024,0.69,0.699,0.61,0.668,0.668,394600
23/01/2024,0.695,0.701,0.63,0.656,0.656,485200
24/01/2024,0.66,0.66,0.551,0.575,0.575,402600
25/01/2024,0.57,0.61,0.5,0.505,0.505,646100
26/01/2024,0.504,0.542,0.501,0.52,0.52,457700
29/01/2024,0.539,0.686,0.521,0.686,0.686,1047900
30/01/2024,0.719,0.729,0.536,0.563,0.563,511300
31/01/2024,0.579,0.593,0.531,0.562,0.562,282000
01/02/2024,0.58,0.678,0.551,0.587,0.587,596300
02/02/2024,0.6,0.609,0.5,0.525,0.525,344000
05/02/2024,0.524,0.525,0.388,0.4,0.4,702500
06/02/2024,0.398,0.419,0.383,0.403,0.403,258500
07/02/2024,0.419,0.53,0.391,0.445,0.445,856100
08/02/2024,0.439,0.459,0.4,0.43,0.43,536100
09/02/2024,0.425,0.49,0.42,0.462,0.462,416600
12/02/2024,0.469,0.54,0.432,0.464,0.464,919600
13/02/2024,0.456,0.494,0.41,0.411,0.411,536900
14/02/2024,0.412,0.418,0.388,0.418,0.418,490000
15/02/2024,0.41,0.466,0.401,0.45,0.45,278100
16/02/2024,0.436,0.436,0.387,0.399,0.399,413100
20/02/2024,0.405,0.406,0.3,0.331,0.331,1106400
21/02/2024,0.331,0.349,0.319,0.329,0.329,257500
22/02/2024,0.328,0.35,0.312,0.343,0.343,421500
23/02/2024,0.349,0.359,0.311,0.324,0.324,339300
26/02/2024,0.32,0.374,0.315,0.365,0.365,664400
27/02/2024,0.368,0.39,0.36,0.387,0.387,424800
28/02/2024,0.377,0.38,0.344,0.347,0.347,357100
29/02/2024,0.352,0.361,0.319,0.337,0.337,382900
01/03/2024,0.345,0.47,0.332,0.419,0.419,1548400
04/03/2024,0.442,0.443,0.395,0.395,0.395,277400
05/03/2024,0.4,0.4,0.371,0.384,0.384,268400
06/03/2024,0.384,0.465,0.35,0.364,0.364,1463100
07/03/2024,0.385,0.385,0.325,0.353,0.353,300200
08/03/2024,0.352,0.359,0.33,0.331,0.331,268000
11/03/2024,0.34,0.38,0.326,0.348,0.348,592700
12/03/2024,0.358,0.358,0.302,0.306,0.306,1517100
13/03/2024,0.302,0.339,0.285,0.31,0.31,774600
14/03/2024,0.323,0.323,0.291,0.291,0.291,271500
15/03/2024,0.3,0.309,0.288,0.296,0.296,129100
18/03/2024,0.304,0.32,0.296,0.307,0.307,279700
19/03/2024,0.308,0.311,0.29,0.293,0.293,485200
20/03/2024,0.29,0.3,0.281,0.288,0.288,317800
21/03/2024,0.29,0.29,0.27,0.281,0.281,366800
22/03/2024,0.29,0.29,0.26,0.28,0.28,496700
25/03/2024,0.272,0.282,0.262,0.264,0.264,220200
26/03/2024,0.27,0.273,0.24,0.24,0.24,674700
27/03/2024,0.254,0.254,0.201,0.234,0.234,1085800
28/03/2024,0.237,0.237,0.212,0.214,0.214,501400
01/04/2024,0.214,0.28,0.214,0.272,0.272,1106600
02/04/2024,0.269,0.269,0.24,0.258,0.258,344800
03/04/2024,0.251,0.269,0.243,0.243,0.243,176500
04/04/2024,0.25,0.253,0.22,0.227,0.227,717900
05/04/2024,0.236,0.236,0.22,0.224,0.224,529600
08/04/2024,0.233,0.238,0.22,0.226,0.226,502600
09/04/2024,0.234,0.293,0.232,0.262,0.262,907400
10/04/2024,0.251,0.267,0.244,0.251,0.251,245600
11/04/2024,0.257,0.288,0.24,0.259,0.259,1305700
12/04/2024,0.269,0.269,0.226,0.226,0.226,460900
15/04/2024,0.23,0.248,0.208,0.217,0.217,333300
16/04/2024,0.22,0.22,0.095,0.204,0.204,798100
17/04/2024,0.198,0.207,0.197,0.201,0.201,150700
18/04/2024,0.201,0.202,0.191,0.192,0.192,149900
19/04/2024,0.195,0.196,0.17,0.172,0.172,374700
22/04/2024,0.174,0.18,0.166,0.172,0.172,364800
23/04/2024,0.174,0.21,0.173,0.203,0.203,1132600
24/04/2024,0.204,0.208,0.169,0.187,0.187,512400
25/04/2024,0.181,0.187,0.168,0.171,0.171,414500
26/04/2024,0.175,0.177,0.171,0.177,0.177,129500
29/04/2024,0.18,0.208,0.175,0.195,0.195,500600
30/04/2024,0.199,0.199,0.185,0.193,0.193,117100
01/05/2024,0.193,0.236,0.193,0.225,0.225,1117600
02/05/2024,0.227,0.227,0.202,0.212,0.212,320800
03/05/2024,0.21,0.212,0.2,0.204,0.204,209300
06/05/2024,0.205,0.208,0.19,0.195,0.195,319100
07/05/2024,0.191,0.2,0.187,0.191,0.191,173800
08/05/2024,0.19,0.196,0.187,0.194,0.194,261300
09/05/2024,0.193,0.198,0.19,0.193,0.193,268900
10/05/2024,0.197,0.197,0.187,0.188,0.188,140700
13/05/2024,0.183,0.192,0.18,0.184,0.184,157600
14/05/2024,0.182,0.186,0.171,0.171,0.171,351200
15/05/2024,0.18,0.192,0.173,0.188,0.188,883700
16/05/2024,0.2,0.29,0.19,0.283,0.283,4786600
17/05/2024,0.286,0.289,0.201,0.209,0.209,3153500
20/05/2024,0.246,0.45,0.221,0.27,0.27,24713400
21/05/2024,0.282,0.29,0.235,0.283,0.283,4710300
22/05/2024,0.265,0.51,0.262,0.353,0.353,39248900
23/05/2024,0.363,0.363,0.236,0.269,0.269,7587700
24/05/2024,0.246,0.29,0.246,0.254,0.254,3460000
28/05/2024,0.298,0.41,0.283,0.371,0.371,42067600
29/05/2024,0.414,0.675,0.37,0.37,0.37,76698900
30/05/2024,0.33,0.342,0.236,0.263,0.263,9541300
31/05/2024,0.259,0.259,0.206,0.233,0.233,7476500
03/06/2024,0.235,0.241,0.21,0.213,0.213,4743700
04/06/2024,0.216,0.277,0.213,0.23,0.23,7472700
05/06/2024,0.228,0.236,0.21,0.219,0.219,2095300
06/06/2024,0.215,0.225,0.191,0.195,0.195,2860900
07/06/2024,0.197,0.198,0.18,0.188,0.188,1032100
10/06/2024,0.185,0.238,0.18,0.226,0.226,4806400
11/06/2024,0.225,0.225,0.201,0.212,0.212,2578800
12/06/2024,0.212,0.218,0.204,0.205,0.205,886900
13/06/2024,0.197,0.205,0.185,0.198,0.198,1056700
14/06/2024,0.192,0.198,0.14,0.173,0.173,1397000
17/06/2024,0.18,0.18,0.145,0.147,0.147,2614900
18/06/2024,0.174,0.22,0.159,0.173,0.173,12373200
20/06/2024,0.164,0.17,0.15,0.17,0.17,1624100
21/06/2024,0.165,0.172,0.156,0.158,0.158,1491400
24/06/2024,0.159,0.16,0.133,0.144,0.144,1833400
25/06/2024,0.135,0.138,0.091,0.105,0.105,7168100
26/06/2024,0.105,0.178,0.1,0.149,0.149,43203700
27/06/2024,0.25,0.308,0.175,0.178,0.178,110770600
28/06/2024,0.175,0.179,0.156,0.166,0.166,5581600
01/07/2024,0.173,0.178,0.151,0.161,0.161,2982500
02/07/2024,0.166,0.166,0.138,0.139,0.139,3080600
03/07/2024,0.139,0.141,0.122,0.127,0.127,3669700
05/07/2024,0.2,0.26,0.161,0.174,0.174,115474400
08/07/2024,0.197,0.212,0.174,0.189,0.189,14973200
09/07/2024,0.181,0.181,0.162,0.165,0.165,3564500
10/07/2024,0.171,0.173,0.162,0.169,0.169,1727500
11/07/2024,0.174,0.177,0.163,0.168,0.168,1906900
12/07/2024,0.177,0.213,0.16,0.184,0.184,20218200
15/07/2024,0.18,0.182,0.165,0.176,0.176,6207100
16/07/2024,0.188,0.189,0.176,0.178,0.178,2210600
17/07/2024,0.17,0.174,0.163,0.167,0.167,2218500
18/07/2024,0.167,0.17,0.152,0.153,0.153,2518800
19/07/2024,0.155,0.155,0.13,0.141,0.141,3315200
22/07/2024,0.154,0.195,0.141,0.145,0.145,16183800
23/07/2024,0.149,0.151,0.135,0.138,0.138,3113000
24/07/2024,0.141,0.157,0.131,0.132,0.132,9072900
25/07/2024,0.13,0.139,0.127,0.137,0.137,1648500
26/07/2024,0.14,0.153,0.137,0.139,0.139,1453300
29/07/2024,0.152,0.152,0.131,0.133,0.133,1749100
30/07/2024,0.136,0.136,0.115,0.117,0.117,2398200
31/07/2024,0.114,0.12,0.109,0.11,0.11,2407900
01/08/2024,0.105,0.116,0.105,0.111,0.111,1223800
02/08/2024,0.111,0.112,0.098,0.105,0.105,2907800
05/08/2024,0.092,0.104,0.091,0.098,0.098,1058800
06/08/2024,0.104,0.105,0.101,0.102,0.102,832400
07/08/2024,0.106,0.107,0.094,0.097,0.097,1527700
08/08/2024,0.1,0.135,0.082,0.12,0.12,6663500
09/08/2024,0.1098,0.1102,0.0906,0.0979,0.0979,2763596
